actual,proposed
-6.7548508644104,-4.1904096603393555
-6.510745525360107,-4.1904096603393555
-6.510745525360107,-4.046540260314941
-6.510745525360107,-4.046540260314941
-6.510745525360107,-4.046540260314941
-6.505363464355469,-4.046540260314941
-6.210168838500977,-4.043359756469727
-6.210168838500977,-3.868307590484619
-6.189877033233643,-3.868307590484619
-6.189877033233643,-3.8562331199645996
-6.184776782989502,-3.8562331199645996
-5.889457702636719,-3.8531973361968994
-5.889457702636719,-3.6768622398376465
-5.889457702636719,-3.6768622398376465
-5.894432544708252,-3.6768622398376465
-5.671072006225586,-3.6798417568206787
-5.671072006225586,-3.545772075653076
-5.666507720947266,-3.545772075653076
-5.666507720947266,-3.5430262088775635
-5.666507720947266,-3.5430262088775635
-5.37553596496582,-3.5430262088775635
-5.37553596496582,-3.367466926574707
-5.371252059936523,-3.367466926574707
-5.371252059936523,-3.364874839782715
-5.37553596496582,-3.364874839782715
-5.36265754699707,-3.367466926574707
-5.36265754699707,-3.3596739768981934
-4.9092841148376465,-3.3596739768981934
-4.9092841148376465,-3.0841476917266846
-4.900184154510498,-3.078594446182251
-4.895634651184082,-3.075817823410034
-4.494040012359619,-3.075817823410034
-4.494040012359619,-2.82987117767334
-4.485671043395996,-2.82987117767334
-4.477302551269531,-2.824728488922119
-4.477302551269531,-2.8195853233337402
-4.086611270904541,-2.8195853233337402
-4.086611270904541,-2.5787250995635986
-4.086611270904541,-2.5787250995635986
-4.086611270904541,-2.5787250995635986
-4.086611270904541,-2.5787250995635986
-3.7544729709625244,-2.5787250995635986
-3.7544729709625244,-2.37286639213562
-3.757972002029419,-2.37286639213562
-3.7544729709625244,-2.375040054321289
-3.7544729709625244,-2.37286639213562
-3.3019332885742188,-2.37286639213562
-3.3019332885742188,-2.0909006595611572
-3.2957732677459717,-2.0870513916015625
-3.2957732677459717,-2.0870513916015625
-2.8973610401153564,-2.0870513916015625
-2.8973610401153564,-1.8375155925750732
-2.891930103302002,-1.8375155925750732
-2.891930103302002,-1.8341064453125
-2.891930103302002,-1.8341064453125
-2.6252553462982178,-1.8341064453125
-2.6252553462982178,-1.6664745807647705
-2.6227903366088867,-1.6649229526519775
-2.627720355987549,-1.668026089668274
-2.3108789920806885,-1.4738014936447144
-2.033780097961426,-1.2931971549987793
-1.8303714990615845,-3.223191022872925
